Date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm
2009-01-16,AliceSprings,25.7,37.5,0.0,30.0,30.0,15.0,14.0
2009-01-17,AliceSprings,25.4,36.3,0.0,26.0,28.0,15.0,23.0
2009-01-18,AliceSprings,23.9,25.2,0.0,7.0,13.0,53.0,57.0
2009-01-19,AliceSprings,19.0,25.3,5.2,13.0,22.0,75.0,76.0
2009-01-20,AliceSprings,19.5,31.1,7.8,7.0,17.0,74.0,56.0
2009-01-21,AliceSprings,22.5,37.0,0.0,9.0,19.0,68.0,27.0
2009-01-22,AliceSprings,23.7,38.8,0.0,15.0,9.0,48.0,14.0
2009-01-23,AliceSprings,27.6,40.2,0.4,15.0,13.0,42.0,19.0
2009-01-24,AliceSprings,25.9,39.9,0.2,9.0,28.0,36.0,42.0
2009-01-25,AliceSprings,24.2,39.6,1.4,17.0,59.0,39.0,51.0
2009-01-26,AliceSprings,21.9,39.5,0.0,7.0,13.0,21.0,7.0
2009-01-27,AliceSprings,26.7,39.4,0.0,22.0,31.0,41.0,21.0
2009-01-28,AliceSprings,25.5,37.6,0.0,28.0,30.0,37.0,14.0
2009-01-29,AliceSprings,24.7,36.5,0.0,15.0,24.0,37.0,20.0
2009-01-30,AliceSprings,21.7,34.2,0.0,17.0,37.0,36.0,27.0
2009-01-31,AliceSprings,22.3,32.0,0.0,20.0,17.0,65.0,53.0
2009-02-01,AliceSprings,21.4,35.9,9.0,22.0,20.0,47.0,29.0
2009-02-02,AliceSprings,24.3,38.0,0.0,11.0,28.0,37.0,21.0
2009-02-03,AliceSprings,23.8,39.3,0.0,6.0,28.0,38.0,13.0
2009-02-04,AliceSprings,22.2,40.1,0.0,15.0,24.0,28.0,13.0
2009-02-05,AliceSprings,25.2,40.8,0.0,13.0,31.0,25.0,15.0
2009-02-06,AliceSprings,26.1,41.3,0.0,15.0,30.0,27.0,11.0
2009-02-07,AliceSprings,22.5,39.3,0.0,15.0,19.0,25.0,11.0
2009-02-08,AliceSprings,22.9,39.9,0.0,11.0,24.0,21.0,10.0
2009-02-09,AliceSprings,23.9,36.6,0.0,26.0,30.0,30.0,17.0
2009-02-10,AliceSprings,24.3,33.6,0.0,28.0,35.0,17.0,15.0
2009-02-11,AliceSprings,18.7,30.4,0.0,28.0,30.0,17.0,8.0
2009-02-12,AliceSprings,13.8,30.5,0.0,22.0,24.0,15.0,5.0
2009-02-13,AliceSprings,11.8,31.1,0.0,19.0,26.0,17.0,4.0
2009-02-14,AliceSprings,11.0,32.1,0.0,11.0,24.0,11.0,5.0
2009-02-15,AliceSprings,12.3,32.1,0.0,20.0,24.0,24.0,16.0
2009-02-16,AliceSprings,16.1,33.3,0.0,13.0,28.0,26.0,12.0
2009-02-17,AliceSprings,16.1,36.2,0.0,9.0,11.0,17.0,9.0
2009-02-18,AliceSprings,17.7,35.5,0.0,20.0,11.0,27.0,13.0
2009-02-19,AliceSprings,21.0,36.7,0.0,17.0,20.0,23.0,11.0
2009-02-20,AliceSprings,22.9,35.3,0.0,20.0,24.0,35.0,15.0
2009-02-21,AliceSprings,23.0,35.6,0.0,24.0,28.0,30.0,13.0
2009-02-22,AliceSprings,15.9,35.9,0.0,13.0,17.0,23.0,9.0
2009-02-23,AliceSprings,18.8,37.7,0.0,15.0,26.0,17.0,8.0
2009-02-24,AliceSprings,18.9,37.9,0.0,17.0,17.0,11.0,17.0
2009-02-25,AliceSprings,25.2,38.2,0.0,19.0,28.0,40.0,22.0
2009-02-26,AliceSprings,26.2,39.3,0.0,22.0,19.0,44.0,26.0
2009-02-27,AliceSprings,28.2,38.7,0.0,22.0,9.0,38.0,18.0
2009-02-28,AliceSprings,28.9,39.6,0.0,20.0,19.0,25.0,15.0
2009-03-01,AliceSprings,29.4,40.0,0.0,33.0,15.0,27.0,17.0
2009-03-02,AliceSprings,29.0,40.5,0.0,35.0,28.0,28.0,11.0
2009-03-03,AliceSprings,29.6,40.6,0.0,31.0,13.0,20.0,11.0
2009-03-04,AliceSprings,19.8,26.9,0.0,30.0,28.0,42.0,15.0
2009-03-05,AliceSprings,18.9,29.3,0.0,28.0,24.0,24.0,14.0
2009-03-06,AliceSprings,12.7,30.5,0.0,19.0,20.0,29.0,17.0
2009-03-07,AliceSprings,13.9,32.4,0.0,11.0,15.0,27.0,12.0
2009-03-08,AliceSprings,14.5,33.2,0.0,9.0,15.0,24.0,13.0
2009-03-09,AliceSprings,16.5,32.5,0.0,20.0,15.0,37.0,18.0
2009-03-10,AliceSprings,17.0,34.7,0.0,17.0,11.0,28.0,15.0
2009-03-11,AliceSprings,23.5,36.4,0.0,7.0,20.0,23.0,11.0
2009-03-12,AliceSprings,23.0,37.3,0.2,33.0,7.0,31.0,16.0
2009-03-13,AliceSprings,21.9,37.5,0.0,15.0,15.0,29.0,21.0
2009-03-14,AliceSprings,24.0,39.2,0.2,9.0,20.0,36.0,17.0
2009-03-15,AliceSprings,23.9,32.8,0.0,24.0,22.0,30.0,17.0
2009-03-16,AliceSprings,15.6,31.0,0.0,24.0,24.0,25.0,12.0
2009-03-17,AliceSprings,12.8,29.7,0.0,17.0,26.0,27.0,17.0
2009-03-18,AliceSprings,12.5,32.5,0.0,13.0,11.0,27.0,11.0
2009-03-19,AliceSprings,13.4,34.3,0.0,2.0,26.0,22.0,7.0
2009-03-20,AliceSprings,15.1,36.1,0.0,0.0,19.0,14.0,9.0
2009-03-21,AliceSprings,16.2,37.9,0.0,15.0,22.0,17.0,5.0
2009-03-22,AliceSprings,18.5,38.2,0.0,7.0,15.0,13.0,6.0
2009-03-23,AliceSprings,18.9,38.8,0.0,11.0,24.0,18.0,6.0
2009-03-24,AliceSprings,27.4,36.5,0.0,28.0,9.0,22.0,22.0
2009-03-25,AliceSprings,25.7,38.9,0.0,24.0,9.0,22.0,17.0
2009-03-26,AliceSprings,21.9,37.3,0.0,2.0,9.0,24.0,16.0
2009-03-27,AliceSprings,22.4,34.9,0.0,20.0,22.0,29.0,16.0
2009-03-28,AliceSprings,19.5,34.8,0.0,19.0,26.0,26.0,17.0
2009-03-29,AliceSprings,17.7,36.0,0.0,11.0,9.0,20.0,15.0
2009-03-30,AliceSprings,17.0,36.5,0.0,0.0,11.0,17.0,11.0
2009-03-31,AliceSprings,17.5,36.3,0.0,13.0,17.0,13.0,11.0
2009-04-01,AliceSprings,16.7,35.4,0.0,7.0,15.0,17.0,8.0
2009-04-02,AliceSprings,14.6,34.6,0.0,9.0,28.0,21.0,8.0
2009-04-03,AliceSprings,15.1,33.8,0.0,4.0,30.0,23.0,8.0
2009-04-04,AliceSprings,15.8,27.9,0.0,28.0,22.0,26.0,21.0
2009-04-05,AliceSprings,10.6,26.3,0.0,26.0,24.0,34.0,14.0
2009-04-06,AliceSprings,10.7,25.2,0.0,30.0,28.0,36.0,14.0
2009-04-07,AliceSprings,14.2,23.2,0.0,31.0,20.0,35.0,20.0
2009-04-08,AliceSprings,12.6,25.3,0.0,17.0,19.0,20.0,13.0
2009-04-09,AliceSprings,9.3,29.0,0.0,4.0,9.0,21.0,11.0
2009-04-10,AliceSprings,11.9,29.7,0.0,2.0,13.0,21.0,10.0
2009-04-11,AliceSprings,12.3,30.5,0.0,13.0,15.0,30.0,15.0
2009-04-12,AliceSprings,15.5,30.8,0.0,6.0,19.0,27.0,11.0
2009-04-13,AliceSprings,11.5,31.2,0.0,0.0,30.0,20.0,15.0
2009-04-14,AliceSprings,13.4,32.3,0.0,0.0,20.0,31.0,13.0
2009-04-15,AliceSprings,14.8,33.9,0.0,0.0,7.0,30.0,15.0
2009-04-16,AliceSprings,19.6,28.9,0.0,17.0,9.0,26.0,22.0
2009-04-17,AliceSprings,18.9,28.1,0.0,20.0,19.0,31.0,26.0
2009-04-18,AliceSprings,20.1,30.0,0.0,26.0,17.0,40.0,20.0
2009-04-19,AliceSprings,12.0,29.2,0.0,19.0,13.0,24.0,15.0
2009-04-20,AliceSprings,17.9,28.8,0.0,9.0,9.0,28.0,19.0
2009-04-21,AliceSprings,12.4,31.2,0.0,2.0,15.0,26.0,17.0
2009-04-22,AliceSprings,15.6,33.5,0.0,17.0,11.0,19.0,15.0
2009-04-23,AliceSprings,21.5,35.0,0.0,37.0,35.0,16.0,12.0
2009-04-24,AliceSprings,13.9,23.6,0.0,28.0,13.0,44.0,22.0
2009-04-25,AliceSprings,8.6,25.9,0.0,13.0,15.0,50.0,19.0
2009-04-26,AliceSprings,10.2,26.2,0.0,11.0,13.0,34.0,23.0
2009-04-27,AliceSprings,9.2,24.8,0.0,13.0,20.0,47.0,27.0
2009-04-28,AliceSprings,8.3,24.2,0.0,4.0,19.0,44.0,23.0
2009-04-29,AliceSprings,7.6,25.3,0.0,2.0,20.0,43.0,20.0
2009-04-30,AliceSprings,7.6,24.7,0.0,0.0,20.0,42.0,22.0
2009-05-01,AliceSprings,6.7,24.1,0.0,11.0,24.0,36.0,19.0
2009-05-02,AliceSprings,6.1,22.5,0.0,11.0,30.0,35.0,16.0
2009-05-03,AliceSprings,5.2,23.1,0.0,15.0,22.0,31.0,15.0
2009-05-04,AliceSprings,5.0,22.7,0.0,13.0,24.0,34.0,17.0
2009-05-05,AliceSprings,4.9,22.8,0.0,11.0,11.0,38.0,22.0
2009-05-06,AliceSprings,6.4,24.7,0.0,9.0,24.0,34.0,16.0
2009-05-07,AliceSprings,7.0,22.6,0.0,11.0,24.0,38.0,20.0
2009-05-08,AliceSprings,6.5,21.4,0.0,20.0,22.0,43.0,23.0
2009-05-09,AliceSprings,4.7,23.2,0.0,17.0,22.0,37.0,15.0
2009-05-10,AliceSprings,5.8,23.0,0.0,4.0,19.0,36.0,21.0
2009-05-11,AliceSprings,4.3,22.9,0.0,7.0,22.0,42.0,18.0
2009-05-12,AliceSprings,3.9,21.0,0.0,4.0,20.0,44.0,23.0
2009-05-13,AliceSprings,4.9,21.1,0.0,6.0,20.0,44.0,21.0
2009-05-14,AliceSprings,4.9,20.0,0.0,0.0,26.0,39.0,20.0
2009-05-15,AliceSprings,3.9,20.7,0.0,2.0,20.0,41.0,25.0
2009-05-16,AliceSprings,8.7,19.6,0.0,11.0,19.0,46.0,33.0
2009-05-17,AliceSprings,10.0,18.8,0.0,4.0,15.0,54.0,37.0
2009-05-18,AliceSprings,9.8,23.3,0.0,2.0,9.0,53.0,29.0
2009-05-19,AliceSprings,6.9,23.7,0.0,7.0,17.0,54.0,21.0
2009-05-20,AliceSprings,5.8,22.4,0.0,2.0,20.0,54.0,24.0
2009-05-21,AliceSprings,6.0,21.4,0.0,7.0,13.0,55.0,27.0
2009-05-22,AliceSprings,4.2,23.4,0.0,2.0,9.0,59.0,27.0
2009-05-23,AliceSprings,8.3,28.6,0.0,20.0,15.0,41.0,17.0
2009-05-24,AliceSprings,14.0,29.6,0.0,22.0,28.0,27.0,15.0
2009-05-25,AliceSprings,12.7,21.5,0.0,20.0,17.0,48.0,38.0
2009-05-26,AliceSprings,9.0,20.0,0.0,15.0,19.0,50.0,36.0
2009-05-27,AliceSprings,12.3,19.5,0.0,20.0,20.0,55.0,39.0
2009-05-28,AliceSprings,11.4,21.1,0.6,17.0,22.0,54.0,29.0
2009-05-29,AliceSprings,8.7,21.3,0.0,24.0,17.0,39.0,22.0
2009-05-30,AliceSprings,8.4,9.6,8.2,19.0,26.0,96.0,97.0
2009-05-31,AliceSprings,8.3,10.8,12.4,13.0,13.0,95.0,91.0
2009-06-01,AliceSprings,9.0,10.9,0.4,11.0,13.0,92.0,84.0
2009-06-02,AliceSprings,8.6,12.6,0.4,7.0,9.0,90.0,71.0
2009-06-03,AliceSprings,3.2,18.2,0.2,0.0,11.0,92.0,45.0
2009-06-04,AliceSprings,4.4,22.2,0.0,0.0,7.0,92.0,35.0
2009-06-05,AliceSprings,10.2,22.5,0.0,20.0,26.0,44.0,40.0
2009-06-06,AliceSprings,11.4,19.7,1.2,15.0,24.0,61.0,27.0
2009-06-07,AliceSprings,4.6,17.5,0.0,9.0,13.0,74.0,39.0
2009-06-08,AliceSprings,4.1,17.3,0.0,7.0,9.0,63.0,35.0
2009-06-09,AliceSprings,3.0,18.2,0.0,2.0,9.0,65.0,34.0
2009-06-10,AliceSprings,3.2,17.9,0.0,0.0,13.0,79.0,30.0
2009-06-11,AliceSprings,1.6,19.5,0.0,0.0,15.0,69.0,23.0
2009-06-12,AliceSprings,6.1,23.2,0.0,17.0,19.0,42.0,14.0
2009-06-13,AliceSprings,11.2,26.7,0.0,0.0,9.0,31.0,17.0
2009-06-14,AliceSprings,7.7,17.0,0.2,15.0,13.0,44.0,27.0
2009-06-15,AliceSprings,4.0,16.8,0.0,11.0,19.0,57.0,43.0
2009-06-16,AliceSprings,2.7,17.0,0.0,2.0,15.0,68.0,33.0
2009-06-17,AliceSprings,6.7,16.3,0.0,17.0,15.0,64.0,36.0
2009-06-18,AliceSprings,0.8,16.5,0.0,0.0,17.0,61.0,30.0
2009-06-19,AliceSprings,0.6,18.0,0.0,0.0,11.0,63.0,25.0
2009-06-20,AliceSprings,0.7,23.2,0.0,0.0,4.0,47.0,13.0
2009-06-21,AliceSprings,4.9,25.4,0.0,11.0,19.0,27.0,18.0
2009-06-22,AliceSprings,9.0,22.9,0.0,15.0,11.0,37.0,21.0
2009-06-23,AliceSprings,6.5,22.6,0.0,4.0,7.0,38.0,15.0
2009-06-24,AliceSprings,6.7,24.5,0.0,2.0,9.0,44.0,19.0
2009-06-25,AliceSprings,12.1,26.2,0.0,20.0,26.0,18.0,17.0
2009-06-26,AliceSprings,12.2,22.6,0.0,17.0,22.0,59.0,29.0
2009-06-27,AliceSprings,6.6,23.0,0.0,7.0,13.0,58.0,25.0
2009-06-28,AliceSprings,7.4,24.8,0.0,4.0,9.0,41.0,25.0
2009-06-29,AliceSprings,6.4,28.0,0.0,0.0,22.0,34.0,13.0
2009-06-30,AliceSprings,16.8,31.2,0.0,35.0,35.0,28.0,22.0
2009-07-01,AliceSprings,13.0,23.0,0.0,13.0,11.0,47.0,25.0
2009-07-02,AliceSprings,6.6,19.9,0.0,6.0,19.0,42.0,23.0
2009-07-03,AliceSprings,2.9,18.3,0.0,6.0,17.0,41.0,30.0
2009-07-04,AliceSprings,4.6,17.0,0.0,9.0,22.0,67.0,42.0
2009-07-05,AliceSprings,5.7,17.4,0.0,9.0,9.0,73.0,41.0
2009-07-06,AliceSprings,3.4,18.2,0.0,4.0,15.0,64.0,40.0
2009-07-07,AliceSprings,2.3,19.3,0.0,0.0,17.0,63.0,29.0
2009-07-08,AliceSprings,2.0,19.7,0.0,0.0,19.0,63.0,22.0
2009-07-09,AliceSprings,2.0,21.1,0.0,2.0,11.0,51.0,19.0
2009-07-10,AliceSprings,2.8,25.0,0.0,0.0,13.0,31.0,17.0
2009-07-11,AliceSprings,9.5,27.1,0.0,6.0,17.0,33.0,21.0
2009-07-12,AliceSprings,9.3,28.1,0.0,7.0,28.0,48.0,14.0
2009-07-13,AliceSprings,11.5,15.8,0.0,13.0,13.0,65.0,59.0
2009-07-14,AliceSprings,2.2,17.9,0.0,13.0,17.0,49.0,19.0
2009-07-15,AliceSprings,3.5,16.0,0.0,17.0,17.0,54.0,36.0
2009-07-16,AliceSprings,0.9,17.5,0.0,0.0,6.0,62.0,27.0
2009-07-17,AliceSprings,0.2,20.9,0.0,0.0,13.0,51.0,21.0
2009-07-18,AliceSprings,1.6,22.8,0.0,2.0,11.0,37.0,12.0
2009-07-19,AliceSprings,3.6,23.4,0.0,2.0,20.0,25.0,12.0
2009-07-20,AliceSprings,10.9,28.5,0.0,17.0,24.0,15.0,9.0
2009-07-21,AliceSprings,13.7,25.7,0.0,0.0,28.0,44.0,29.0
2009-07-22,AliceSprings,15.1,21.3,0.0,13.0,15.0,33.0,23.0
2009-07-23,AliceSprings,4.3,21.1,0.0,0.0,13.0,34.0,15.0
2009-07-24,AliceSprings,1.6,23.2,0.0,7.0,17.0,35.0,15.0
2009-07-25,AliceSprings,9.9,25.5,0.0,20.0,13.0,22.0,14.0
2009-07-26,AliceSprings,11.5,18.5,0.0,22.0,24.0,47.0,20.0
2009-07-27,AliceSprings,2.8,17.1,0.0,15.0,26.0,44.0,28.0
2009-07-28,AliceSprings,2.1,16.3,0.0,20.0,24.0,48.0,23.0
2009-07-29,AliceSprings,0.2,17.7,0.0,11.0,24.0,47.0,22.0
2009-07-30,AliceSprings,1.0,17.8,0.0,9.0,22.0,53.0,25.0
2009-07-31,AliceSprings,1.2,18.9,0.0,9.0,20.0,50.0,24.0
2009-08-01,AliceSprings,1.6,19.5,0.0,0.0,15.0,63.0,27.0
2009-08-02,AliceSprings,2.2,20.6,0.0,6.0,13.0,53.0,20.0
2009-08-03,AliceSprings,1.8,21.0,0.0,0.0,13.0,43.0,16.0
2009-08-04,AliceSprings,1.8,22.5,0.0,0.0,13.0,38.0,10.0
2009-08-05,AliceSprings,1.8,23.2,0.0,0.0,13.0,31.0,6.0
2009-08-06,AliceSprings,1.9,27.1,0.0,6.0,11.0,14.0,5.0
2009-08-07,AliceSprings,4.6,27.3,0.0,6.0,13.0,13.0,4.0
2009-08-08,AliceSprings,3.8,26.4,0.0,4.0,15.0,22.0,7.0
2009-08-09,AliceSprings,4.4,28.1,0.0,0.0,22.0,21.0,2.0
2009-08-10,AliceSprings,8.2,30.7,0.0,26.0,20.0,6.0,2.0
2009-08-11,AliceSprings,12.6,31.6,0.0,20.0,20.0,5.0,3.0
2009-08-12,AliceSprings,10.2,31.7,0.0,7.0,31.0,13.0,4.0
2009-08-13,AliceSprings,12.8,32.1,0.0,11.0,26.0,12.0,7.0
2009-08-14,AliceSprings,11.3,32.7,0.0,6.0,22.0,20.0,11.0
2009-08-15,AliceSprings,21.3,32.9,0.0,24.0,30.0,22.0,14.0
2009-08-16,AliceSprings,23.1,30.1,0.0,20.0,22.0,17.0,18.0
2009-08-17,AliceSprings,12.2,23.2,0.0,30.0,24.0,13.0,10.0
2009-08-18,AliceSprings,9.5,30.4,0.0,13.0,11.0,16.0,11.0
2009-08-19,AliceSprings,10.8,32.3,0.0,22.0,24.0,16.0,10.0
2009-08-20,AliceSprings,11.3,33.2,0.0,6.0,13.0,25.0,9.0
2009-08-21,AliceSprings,14.7,34.7,0.0,7.0,24.0,21.0,10.0
2009-08-22,AliceSprings,16.6,35.2,0.0,9.0,31.0,21.0,7.0
2009-08-23,AliceSprings,12.6,35.1,0.0,9.0,31.0,15.0,10.0
2009-08-24,AliceSprings,16.4,30.2,0.0,11.0,7.0,34.0,22.0
2009-08-25,AliceSprings,14.4,25.9,0.0,24.0,19.0,21.0,15.0
2009-08-26,AliceSprings,12.4,19.7,3.6,6.0,11.0,85.0,87.0
2009-08-27,AliceSprings,10.6,24.5,8.0,13.0,19.0,29.0,55.0
2009-08-28,AliceSprings,14.9,33.6,0.0,22.0,37.0,33.0,21.0
2009-08-29,AliceSprings,16.8,33.9,0.0,7.0,43.0,32.0,17.0
2009-08-30,AliceSprings,14.2,21.8,0.0,31.0,30.0,46.0,33.0
2009-08-31,AliceSprings,10.1,20.3,0.0,24.0,19.0,29.0,20.0
2009-09-01,AliceSprings,11.0,26.7,0.0,22.0,15.0,23.0,14.0
2009-09-02,AliceSprings,15.3,34.1,0.0,30.0,33.0,17.0,16.0
2009-09-03,AliceSprings,18.5,26.8,2.8,13.0,15.0,72.0,36.0
2009-09-04,AliceSprings,11.5,24.3,0.0,20.0,15.0,35.0,24.0
2009-09-05,AliceSprings,9.9,30.7,0.0,11.0,19.0,28.0,11.0
2009-09-06,AliceSprings,17.0,34.6,0.0,20.0,37.0,26.0,8.0
2009-09-07,AliceSprings,13.8,23.6,0.0,26.0,13.0,16.0,12.0
2009-09-08,AliceSprings,6.5,23.2,0.0,13.0,11.0,26.0,15.0
2009-09-09,AliceSprings,5.9,26.8,0.0,13.0,15.0,21.0,10.0
2009-09-10,AliceSprings,7.6,29.3,0.0,24.0,17.0,10.0,5.0
2009-09-11,AliceSprings,11.9,31.5,0.0,17.0,19.0,6.0,5.0
2009-09-12,AliceSprings,16.8,32.8,0.0,33.0,19.0,2.0,2.0
2009-09-13,AliceSprings,18.8,34.4,0.0,17.0,13.0,5.0,12.0
2009-09-14,AliceSprings,19.6,31.5,0.0,19.0,22.0,21.0,10.0
2009-09-15,AliceSprings,17.1,33.9,0.0,22.0,20.0,21.0,13.0
2009-09-16,AliceSprings,23.0,35.9,0.0,28.0,37.0,17.0,12.0
2009-09-17,AliceSprings,18.3,23.3,0.4,22.0,9.0,68.0,90.0
2009-09-18,AliceSprings,16.7,32.1,2.6,17.0,20.0,84.0,29.0
2009-09-19,AliceSprings,17.9,35.8,0.0,6.0,26.0,66.0,15.0
2009-09-20,AliceSprings,21.0,37.1,0.0,4.0,28.0,29.0,13.0
2009-09-21,AliceSprings,27.4,37.4,0.0,33.0,31.0,21.0,9.0
2009-09-22,AliceSprings,20.2,32.1,0.0,39.0,31.0,5.0,2.0
2009-09-23,AliceSprings,7.3,22.9,0.0,28.0,20.0,18.0,14.0
2009-09-24,AliceSprings,6.3,28.0,0.0,15.0,9.0,21.0,8.0
2009-09-25,AliceSprings,16.4,33.9,0.0,31.0,26.0,4.0,4.0
2009-09-26,AliceSprings,11.4,20.2,0.0,30.0,26.0,20.0,10.0
2009-09-27,AliceSprings,4.9,21.7,0.0,28.0,22.0,21.0,12.0
2009-09-28,AliceSprings,4.0,24.7,0.0,20.0,11.0,23.0,13.0
2009-09-29,AliceSprings,8.9,31.5,0.0,19.0,11.0,11.0,6.0
2009-09-30,AliceSprings,21.5,35.2,0.0,35.0,39.0,2.0,2.0
2009-10-01,AliceSprings,21.7,35.0,0.0,37.0,46.0,6.0,17.0
2009-10-02,AliceSprings,9.9,22.2,0.0,17.0,15.0,66.0,32.0
2009-10-03,AliceSprings,8.1,24.2,0.0,20.0,13.0,34.0,16.0
2009-10-04,AliceSprings,7.6,25.8,0.0,17.0,19.0,29.0,16.0
2009-10-05,AliceSprings,7.2,26.3,0.0,22.0,28.0,15.0,7.0
2009-10-06,AliceSprings,6.8,27.4,0.0,22.0,17.0,14.0,8.0
2009-10-07,AliceSprings,8.0,28.5,0.0,13.0,20.0,11.0,6.0
2009-10-08,AliceSprings,12.4,26.5,0.0,31.0,26.0,17.0,5.0
2009-10-09,AliceSprings,6.7,28.1,0.0,28.0,4.0,6.0,1.0
2009-10-10,AliceSprings,9.9,33.8,0.0,7.0,11.0,4.0,5.0
2009-10-11,AliceSprings,23.2,37.1,0.0,35.0,15.0,2.0,2.0
2009-10-12,AliceSprings,20.6,34.6,0.0,17.0,22.0,11.0,15.0
2009-10-13,AliceSprings,15.3,30.7,0.0,22.0,17.0,16.0,12.0
2009-10-14,AliceSprings,11.9,28.5,0.0,24.0,9.0,19.0,12.0
2009-10-15,AliceSprings,10.7,28.8,0.0,15.0,17.0,13.0,8.0
2009-10-16,AliceSprings,11.3,25.8,0.0,30.0,24.0,25.0,15.0
2009-10-17,AliceSprings,9.9,25.2,0.0,30.0,22.0,20.0,14.0
2009-10-18,AliceSprings,6.3,26.9,0.0,28.0,28.0,19.0,5.0
2009-10-19,AliceSprings,8.1,29.5,0.0,20.0,9.0,14.0,9.0
2009-10-20,AliceSprings,9.4,34.5,0.0,20.0,13.0,6.0,5.0
2009-10-21,AliceSprings,15.6,35.7,0.0,11.0,9.0,16.0,12.0
2009-10-22,AliceSprings,22.2,35.4,0.0,7.0,13.0,32.0,11.0
2009-10-23,AliceSprings,16.6,36.6,0.0,0.0,22.0,24.0,6.0
2009-10-24,AliceSprings,17.5,38.3,0.0,15.0,17.0,10.0,6.0
2009-10-25,AliceSprings,20.0,38.0,0.0,19.0,33.0,8.0,6.0
2009-10-26,AliceSprings,18.7,28.0,0.0,26.0,28.0,20.0,12.0
